# quat_x, quat_y, quat_z, quat_w, pos_x, pos_y, pos_z, dt
3.311866e-01,6.247523e-01,-6.247523e-01,3.311866e-01,4.000000e-01,-4.000000e-01,3.138100e-01,2.000000e-02
3.295526e-01,6.256157e-01,-6.256157e-01,3.295526e-01,4.000000e-01,-4.000000e-01,3.148090e-01,2.000000e-02
3.279164e-01,6.264749e-01,-6.264749e-01,3.279164e-01,4.000000e-01,-4.000000e-01,3.158070e-01,2.000000e-02
3.262779e-01,6.273299e-01,-6.273299e-01,3.262779e-01,4.000000e-01,-4.000000e-01,3.168050e-01,2.000000e-02
3.246371e-01,6.281805e-01,-6.281805e-01,3.246371e-01,4.000000e-01,-4.000000e-01,3.178040e-01,2.000000e-02
3.229942e-01,6.290268e-01,-6.290268e-01,3.229942e-01,4.000000e-01,-4.000000e-01,3.188020e-01,2.000000e-02
3.213491e-01,6.298689e-01,-6.298689e-01,3.213491e-01,4.000000e-01,-4.000000e-01,3.198000e-01,2.000000e-02
3.197017e-01,6.307066e-01,-6.307066e-01,3.197017e-01,4.000000e-01,-4.000000e-01,3.207990e-01,2.000000e-02
3.180522e-01,6.315400e-01,-6.315400e-01,3.180522e-01,4.000000e-01,-4.000000e-01,3.217970e-01,2.000000e-02
3.164005e-01,6.323691e-01,-6.323691e-01,3.164005e-01,4.000000e-01,-4.000000e-01,3.227950e-01,2.000000e-02
3.147466e-01,6.331939e-01,-6.331939e-01,3.147466e-01,4.000000e-01,-4.000000e-01,3.237940e-01,2.000000e-02
3.130906e-01,6.340144e-01,-6.340144e-01,3.130906e-01,4.000000e-01,-4.000000e-01,3.247920e-01,2.000000e-02
3.114325e-01,6.348306e-01,-6.348306e-01,3.114325e-01,4.000000e-01,-4.000000e-01,3.257900e-01,2.000000e-02
3.097722e-01,6.356424e-01,-6.356424e-01,3.097722e-01,4.000000e-01,-4.000000e-01,3.267890e-01,2.000000e-02
3.081098e-01,6.364498e-01,-6.364498e-01,3.081098e-01,4.000000e-01,-4.000000e-01,3.277870e-01,2.000000e-02
